window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
1	1000	501	224.0	0.998198	-0.382470
1001	2000	1501	262.0	0.999099	-0.156402
2001	3000	2501	260.0	1.000000	-0.167457
3001	4000	3501	172.0	-0.999690	-0.763560
4001	5000	4501	219.0	-0.999380	-0.415037
5001	6000	5501	218.0	-0.999070	-0.421640
6001	7000	6501	296.0	-0.998760	0.019629
7001	8000	7501	254.0	-0.998450	-0.201140
8001	9000	8501	233.0	-0.998140	-0.325638
9001	10000	9501	293.0	-0.997830	0.004932
10001	11000	10501	240.0	-0.997520	-0.282934
11001	12000	11501	271.0	-0.997210	-0.107676
12001	13000	12501	271.0	-0.996900	-0.107676
13001	14000	13501	276.0	-0.996590	-0.081300
14001	15000	14501	227.0	-0.996280	-0.363276
15001	16000	15501	230.0	-0.995970	-0.344335
16001	17000	16501	231.0	-0.995660	-0.338076
17001	18000	17501	250.0	-0.995350	-0.224040
18001	19000	18501	190.0	-0.995040	-0.619969
19001	20000	19501	232.0	-0.994730	-0.331844
20001	21000	20501	336.0	-0.994420	0.202493
21001	22000	21501	275.0	-0.994110	-0.086537
22001	23000	22501	277.0	-0.993800	-0.076082
23001	24000	23501	251.0	-0.993490	-0.218281
24001	25000	24501	205.0	-0.993180	-0.510344
25001	26000	25501	198.0	-0.992870	-0.560468
26001	27000	26501	235.0	-0.992560	-0.313308
27001	28000	27501	271.0	-0.992250	-0.107676
28001	29000	28501	271.0	-0.991940	-0.107676
29001	30000	29501	199.0	-0.991631	-0.553200
30001	31000	30501	279.0	-0.991321	-0.065703
31001	32000	31501	205.0	-0.991011	-0.510344
32001	33000	32501	190.0	-0.990701	-0.619969
33001	34000	33501	232.0	-0.990391	-0.331844
34001	35000	34501	206.0	-0.990081	-0.503324
35001	36000	35501	163.0	-0.989771	-0.841096
36001	37000	36501	199.0	-0.989461	-0.553200
37001	38000	37501	225.0	-0.989151	-0.376043
38001	39000	38501	208.0	-0.988841	-0.489385
39001	40000	39501	252.0	-0.988531	-0.212545
40001	41000	40501	250.0	-0.988221	-0.224040
41001	42000	41501	183.0	-0.987911	-0.674125
42001	43000	42501	185.0	-0.987601	-0.658443
